,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant
iberian,-0.0115,-0.0841,0.0461,-0.0354,-0.0180,-0.0140,-0.0062,-0.0501,-0.0088,-0.0299,-0.0374,-0.0587,-0.0506,-0.1073
apollo,-0.0708,-0.0079,0.0977,-0.0913,-0.0420,0.0084,-0.0805,-0.0996,0.0135,0.0589,-0.0761,-0.0147,-0.0876,-0.0260
allegedly,0.0301,-0.0108,-0.0006,0.0030,-0.0042,-0.0027,0.0242,-0.0272,0.0062,-0.0165,0.0021,0.0051,0.0004,0.0022
230,0.0023,0.0253,-0.0279,0.0123,0.0265,0.0205,0.0316,-0.0076,0.0072,-0.0215,-0.0223,0.0297,0.0318,0.0388
reworked,0.0168,0.1120,-0.0380,0.1238,0.1494,0.0489,0.0980,0.0867,0.0816,0.0162,0.0501,0.1157,0.0671,0.0677
village,0.0296,-0.0585,0.0348,-0.0128,-0.0360,-0.0555,-0.0143,-0.0028,0.0163,0.0240,0.0182,-0.0451,-0.0101,-0.0403
treverorum,0.0383,0.0426,-0.0529,0.0488,0.0206,-0.0067,0.0167,0.0764,-0.0337,-0.0330,-0.0342,0.0440,0.0431,0.0378
364,-0.0674,-0.0184,0.0135,-0.0335,-0.0265,0.0462,0.0239,-0.0444,-0.0723,-0.0601,-0.0326,0.0039,-0.0504,-0.0140
361,-0.0264,0.0324,0.0375,-0.0303,-0.0173,-0.0165,-0.0597,-0.0120,0.1209,0.0581,0.0152,-0.0341,-0.0599,-0.0027
thessalonica,0.0824,-0.0778,-0.0363,0.0351,-0.0822,-0.0556,0.0109,0.0344,0.0052,-0.0272,0.0273,-0.0430,0.0159,-0.0336
chin,0.0059,-0.0219,0.0226,-0.0253,-0.0884,-0.0375,-0.0081,-0.0244,-0.0042,0.0152,-0.0136,-0.0290,-0.0228,-0.0382
quirinal,-0.0465,-0.0537,0.0706,-0.0574,-0.0040,-0.0053,-0.0496,-0.0202,0.0265,0.0121,-0.0449,-0.0563,-0.0839,-0.0613
gortyna,0.0696,0.0408,-0.0315,0.0700,0.0768,0.0540,0.0279,0.0458,0.0535,0.0092,0.0316,0.0828,0.0414,0.0756
maximus,0.0467,0.0205,-0.0441,0.0588,-0.0028,-0.0035,0.0674,0.0446,-0.0067,-0.0190,0.0351,0.0260,0.0386,0.0192
mediterraneum,0.0157,0.0461,-0.0271,0.0487,0.0522,-0.0419,0.0215,0.0367,-0.0419,-0.0570,-0.0805,0.0004,0.0423,0.0472
embolos,0.0424,-0.0060,0.0115,-0.0409,-0.0826,-0.0312,-0.0379,-0.0359,-0.0061,0.0583,0.0376,-0.0314,-0.0141,0.0002
pannonia,-0.0210,-0.0004,0.0145,-0.0388,-0.0420,0.0213,-0.0637,-0.0459,-0.0290,-0.0380,-0.0453,0.0174,-0.0388,-0.0030
peninsula,-0.0115,-0.0841,0.0461,-0.0354,-0.0180,-0.0140,-0.0062,-0.0501,-0.0088,-0.0299,-0.0374,-0.0587,-0.0506,-0.1073
ordo,-0.0154,0.0498,0.0166,-0.0322,0.0086,0.0220,-0.0127,-0.0553,0.0067,0.0282,-0.0118,0.0164,-0.0580,0.0327
older,0.0486,0.0318,-0.0480,0.0067,0.0222,0.0133,0.0231,-0.0187,-0.0208,-0.0138,-0.0058,0.0164,-0.0036,0.0277
entrance,-0.0028,-0.0274,0.0424,-0.0029,-0.0219,-0.0355,-0.0015,0.0334,0.0771,0.0603,0.0402,-0.0147,-0.0128,-0.0328
phrygia,-0.0026,-0.0060,0.0349,-0.0523,-0.0805,-0.0353,-0.0259,-0.0284,-0.0221,0.0131,0.0365,-0.0298,-0.0362,-0.0490
curly,-0.0571,0.0443,-0.0127,-0.0250,0.0188,0.0195,-0.0096,-0.0240,-0.0876,-0.0556,-0.0459,0.0276,-0.0261,0.0233
gilded,0.0261,0.0421,-0.0600,0.0553,0.0195,0.0381,0.0392,0.0315,0.0181,0.0468,0.0693,0.0493,0.0332,0.0351
portait,0.0586,-0.0079,-0.0210,-0.0010,-0.0024,0.0062,0.0018,-0.0175,0.0307,0.0549,0.0612,0.0116,0.0233,0.0050
forehead,-0.0372,-0.0138,-0.0060,-0.0103,-0.0098,0.0876,0.0402,-0.0141,-0.0127,-0.0005,-0.0184,0.0377,-0.0206,-0.0398
1910,-0.0174,0.0150,0.0365,-0.0255,-0.0245,-0.0265,-0.0675,-0.0172,-0.0941,-0.0278,-0.0143,-0.0142,-0.0152,0.0321
240,-0.0133,0.0126,-0.0058,0.0314,0.0357,-0.0145,0.0205,0.0179,-0.0012,-0.0359,-0.0330,0.0097,0.0130,0.0197
km,-0.0089,-0.0727,0.0204,-0.0190,-0.0395,-0.0789,-0.0165,-0.0300,0.0165,-0.0011,0.0215,-0.0723,-0.0288,-0.0875
given,0.0627,0.0272,-0.1201,0.0911,-0.0512,-0.0009,0.0175,0.0943,-0.0436,-0.0631,0.0258,0.0346,0.1272,0.0595
285,0.0620,-0.0440,-0.0173,0.0008,-0.0351,-0.0500,-0.0163,0.0336,0.0541,0.0297,0.0596,-0.0609,0.0105,-0.0404
excavated,0.0053,0.0009,0.0307,-0.0119,-0.0120,-0.0463,-0.0266,-0.0233,0.0376,0.0350,-0.0433,-0.0237,-0.0129,0.0351
150,0.0524,-0.1338,0.0513,-0.1216,-0.0410,0.0660,-0.0960,-0.1951,0.1187,0.1550,0.1564,-0.0800,-0.1129,-0.0959
gortyn,-0.0018,0.0223,0.0211,0.0005,0.0846,0.0831,0.0138,-0.0217,0.0422,0.0232,0.0462,0.0604,0.0040,0.0744
acropolis,0.1006,0.0552,-0.0760,0.0918,-0.0029,-0.0069,0.0741,0.0578,0.0700,0.0651,0.0167,0.0760,0.0961,0.0563
inset,-0.0539,-0.1294,0.1211,-0.0885,-0.0213,-0.0461,-0.0433,-0.0488,0.1365,0.0564,0.0460,-0.1221,-0.0958,-0.1113
appia,-0.0222,0.0312,-0.0242,0.0232,0.0582,0.0394,0.0059,0.0255,-0.0039,0.0136,0.0306,0.0369,0.0116,0.0353
hall,0.0050,0.0629,0.0183,-0.0636,-0.0731,0.0086,-0.0546,-0.0885,-0.0575,0.0117,-0.0018,0.0034,-0.0601,0.0530
high,-0.0256,-0.0580,0.0522,-0.0346,0.0146,-0.0942,-0.0064,-0.0182,-0.0066,-0.0129,-0.0394,-0.0547,-0.0039,-0.0188
chiragan,-0.1224,-0.1017,0.1210,-0.0634,0.0322,0.0191,0.0239,-0.0595,0.0058,0.0062,0.0181,-0.0578,-0.0581,-0.0940
courtyard,0.0046,0.0536,-0.0079,-0.0032,-0.0382,-0.0136,-0.0281,-0.0121,-0.0051,0.0240,-0.0593,0.0112,-0.0316,0.0564
cuirass,0.0390,0.0158,-0.0425,0.0073,-0.0058,-0.0123,0.0191,-0.0186,-0.0080,-0.0128,-0.0242,0.0030,0.0079,0.0122
arcadius,-0.0875,-0.0904,0.0472,-0.0589,0.0100,-0.0187,-0.0077,-0.0297,-0.0044,-0.0454,-0.0053,-0.0767,-0.0765,-0.1113
apostle,0.0299,0.0021,-0.0041,0.0251,-0.0478,-0.0139,-0.0049,0.0222,0.0389,0.0512,0.0207,0.0135,0.0317,0.0115
earrings,0.0129,-0.0127,-0.0015,-0.0062,0.0185,0.0200,0.0253,-0.0284,-0.0103,0.0169,0.0386,-0.0096,-0.0009,0.0090
cyrene,-0.0143,0.0375,0.0599,-0.0884,-0.0256,-0.0431,-0.0969,-0.1017,0.0146,0.0341,-0.0362,-0.0296,-0.0956,0.0000
apollon,-0.0457,-0.0547,0.0774,-0.0260,-0.0070,0.0198,-0.0175,-0.0379,0.0779,0.0655,0.0192,-0.0270,-0.0294,-0.0644
antiochia,-0.0279,0.0042,-0.0139,0.0331,-0.0084,0.0243,0.0149,0.0337,-0.0354,-0.0131,0.0385,0.0312,0.0250,0.0173
albani,-0.0114,0.0598,-0.0152,0.0619,0.0307,-0.0152,0.0099,0.0737,-0.0210,-0.0027,0.0471,0.0497,0.0852,0.0761
alba,0.0399,0.0189,-0.0334,0.0415,0.0056,0.0540,0.0593,0.0045,0.0404,0.0648,0.0703,0.0570,0.0445,0.0331
byzantine,0.0010,0.0228,-0.0337,0.0652,0.0612,0.0350,0.0724,0.0648,-0.0094,-0.0534,-0.0175,0.0656,0.0704,0.0403
fucens,0.0399,0.0189,-0.0334,0.0415,0.0056,0.0540,0.0593,0.0045,0.0404,0.0648,0.0703,0.0570,0.0445,0.0331
youth,-0.0392,-0.0268,0.0141,-0.0152,0.0437,0.0673,0.0481,-0.0218,-0.0371,-0.0385,0.0102,0.0207,-0.0008,-0.0008
minturnae,0.0068,-0.0066,-0.0170,0.0160,-0.0099,0.0511,0.0163,0.0082,-0.0006,-0.0123,0.0314,0.0155,-0.0033,-0.0165
long-bearded,0.0202,0.0116,-0.0300,0.0051,0.0674,0.0428,0.0435,-0.0362,0.0180,0.0115,0.0373,0.0154,-0.0233,0.0037
previously,0.0142,0.0445,-0.0556,0.0411,-0.0826,-0.0737,-0.0576,0.0495,-0.0510,-0.0412,-0.0112,-0.0050,0.0594,0.0520
valens,-0.0309,-0.0325,0.0107,0.0156,-0.0017,0.0269,0.0063,0.0300,-0.0186,-0.0234,0.0221,0.0056,-0.0165,-0.0216
romana,0.0031,0.0725,-0.0405,0.0184,0.0129,-0.0104,0.0052,0.0074,-0.0653,-0.0539,-0.0949,0.0314,0.0085,0.0669
river,0.0278,0.0288,-0.0150,0.0284,0.0261,0.0303,0.0021,0.0343,0.0663,0.0182,0.0436,0.0081,-0.0276,-0.0141
northwest,0.0608,0.0496,-0.0289,0.0335,-0.0016,0.0199,0.0041,0.0100,-0.0215,0.0250,0.0686,0.0198,0.0079,0.0768
missing,0.0402,-0.0080,0.0153,-0.0626,-0.0352,-0.0018,-0.0456,-0.1015,-0.0041,0.0297,0.0085,-0.0139,-0.0473,0.0122
prima,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
libya,-0.0143,0.0375,0.0599,-0.0884,-0.0256,-0.0431,-0.0969,-0.1017,0.0146,0.0341,-0.0362,-0.0296,-0.0956,0.0000
venice,0.0487,-0.0484,-0.0188,-0.0006,-0.0807,-0.0132,-0.0166,-0.0087,-0.0131,-0.0199,-0.0072,-0.0338,0.0048,-0.0305
tuscia,-0.0763,-0.0114,0.0693,-0.0556,-0.0755,-0.0681,-0.0612,-0.0328,-0.0074,0.0393,-0.0273,-0.0524,-0.0479,-0.0409
originally,-0.0035,0.0336,-0.0368,0.0397,0.0489,-0.0170,0.0438,0.0444,-0.0361,-0.0709,-0.0140,0.0119,0.0412,0.0308
so-called,-0.0304,0.0758,-0.0141,0.0014,0.0161,0.0143,-0.0362,0.0362,-0.0246,0.0201,-0.0042,0.0168,-0.0455,0.0247
populus,-0.0258,0.0234,-0.0308,-0.0351,-0.0471,0.0335,0.0135,-0.0520,-0.0718,-0.0370,-0.0566,0.0018,-0.0022,0.0052
lsa,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
stratonicea,-0.0348,-0.0037,0.0008,-0.0638,0.0147,-0.0490,0.0076,-0.0445,-0.0480,-0.0085,-0.0212,-0.0368,-0.0034,-0.0084
water,0.0207,0.0392,-0.0105,-0.0423,0.0078,-0.0153,-0.0198,-0.0378,-0.0138,0.0385,0.0306,-0.0124,-0.0172,0.0085
picenum,-0.0630,-0.0399,0.0703,-0.0159,-0.0035,-0.0089,-0.0235,-0.0233,0.1051,0.0311,-0.0254,-0.0425,-0.0435,-0.0353
milan-munich,0.1170,0.0402,-0.0997,0.0617,-0.0412,-0.0351,0.0474,0.0505,-0.0767,-0.0625,-0.0554,0.0374,0.1060,0.0790
welschbillig,0.0017,0.0947,-0.0027,-0.0104,0.0568,0.0666,-0.0217,-0.0322,-0.0257,0.0180,-0.0018,0.0583,-0.0433,0.0689
sicilia,0.0412,-0.0447,-0.0102,-0.0000,-0.0291,0.0127,0.0369,-0.0143,0.0073,0.0006,0.0364,-0.0016,0.0231,-0.0491
necropolis,-0.0050,0.0062,-0.0261,0.0343,0.0593,0.0243,0.0666,0.0209,-0.0693,-0.0419,0.0433,0.0346,0.0406,0.0169
silver,0.0126,-0.0360,0.0230,0.0321,0.0493,-0.0049,0.0152,0.0382,0.0855,0.0567,0.0736,0.0047,-0.0029,-0.0450
umbria,-0.0763,-0.0114,0.0693,-0.0556,-0.0755,-0.0681,-0.0612,-0.0328,-0.0074,0.0393,-0.0273,-0.0524,-0.0479,-0.0409
flat,-0.0686,-0.0568,0.0790,-0.0608,0.0600,0.0278,-0.0064,-0.0595,-0.0068,-0.0018,0.0112,-0.0468,-0.0978,-0.0456
flaminia,-0.0682,-0.0157,0.0258,0.0120,0.0072,0.0019,0.0297,-0.0291,0.0164,-0.0282,-0.0818,-0.0041,0.0103,-0.0105
necklace,-0.0684,-0.0220,0.0452,-0.0124,0.0602,0.0074,-0.0141,-0.0056,0.0003,-0.0160,-0.0291,-0.0140,-0.0435,-0.0365
finger,-0.0251,-0.0104,0.0518,-0.0167,0.0247,-0.0194,0.0000,0.0117,0.0930,0.0573,0.0229,-0.0100,-0.0265,-0.0275
calabria,-0.0144,0.0131,-0.0148,-0.0024,-0.0248,0.0314,0.0035,0.0373,-0.0524,-0.0228,0.0257,0.0136,-0.0167,-0.0295
10,-0.1027,-0.0514,0.0851,-0.0638,0.0123,-0.0403,-0.0252,-0.0615,0.0038,0.0143,-0.0081,-0.0556,-0.0531,-0.0718
neck,-0.0220,0.0130,0.0015,-0.0290,-0.0878,0.0266,-0.1143,-0.0202,0.0042,0.0077,-0.0069,0.0074,-0.0378,-0.0236
room,-0.0122,0.0043,0.0265,0.0113,0.0804,0.0274,0.0249,-0.0041,0.0300,0.0089,0.0267,0.0359,0.0119,0.0284
bulla,-0.0154,0.0498,0.0166,-0.0322,0.0086,0.0220,-0.0127,-0.0553,0.0067,0.0282,-0.0118,0.0164,-0.0580,0.0327
ring,-0.0251,-0.0104,0.0518,-0.0167,0.0247,-0.0194,0.0000,0.0117,0.0930,0.0573,0.0229,-0.0100,-0.0265,-0.0275
miniature,0.0031,-0.0600,0.0065,0.0172,0.0054,-0.0339,0.0430,0.0137,0.0093,-0.0296,-0.0093,-0.0235,0.0218,-0.0448
full-faced,0.0056,-0.0153,0.0060,-0.0020,0.0085,0.0295,0.0005,0.0124,0.0514,0.0124,-0.0011,0.0078,-0.0256,0.0001
sculptors,-0.0176,0.0233,-0.0136,0.0021,0.0548,-0.0083,-0.0050,0.0062,-0.0741,-0.0643,-0.0269,0.0221,0.0349,0.0492
galerius,0.1250,-0.0531,-0.0506,-0.0131,-0.0651,0.0058,-0.0321,-0.0283,0.0385,0.0413,0.0754,-0.0294,0.0072,-0.0324
scythia,-0.0815,-0.0236,0.0827,-0.0304,0.0407,-0.0165,-0.0331,-0.0028,0.0707,0.0480,0.0579,-0.0278,-0.0375,-0.0509
della,0.0306,-0.0183,-0.0068,0.0007,-0.0761,0.0215,-0.0023,-0.0111,0.0351,0.0236,0.0470,-0.0080,-0.0256,-0.0155
german,-0.0544,-0.0231,0.0417,-0.0308,-0.0366,0.0070,0.0609,-0.0360,-0.0294,-0.0151,-0.0108,0.0042,-0.0198,-0.0384
signo,0.0078,-0.0214,0.0354,-0.0165,-0.0215,-0.0322,-0.0377,-0.0064,0.0241,0.0177,-0.0444,-0.0401,-0.0227,0.0254
smyrna,0.0435,0.0237,-0.0650,0.0379,0.0228,-0.0262,0.0522,0.0182,-0.0203,-0.0564,-0.0482,0.0023,0.0432,0.0178
camp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evangelist,0.0299,0.0021,-0.0041,0.0251,-0.0478,-0.0139,-0.0049,0.0222,0.0389,0.0512,0.0207,0.0135,0.0317,0.0115
fausta,-0.0520,-0.0906,0.0834,-0.0519,-0.0360,-0.0183,-0.0507,-0.0278,0.0355,0.0136,0.0082,-0.0843,-0.0761,-0.0737
region,0.0601,-0.0339,0.0249,-0.0049,-0.0258,-0.0476,-0.0146,-0.0122,0.0480,0.0422,0.0563,-0.0344,-0.0191,-0.0272
decumanus,0.0467,0.0205,-0.0441,0.0588,-0.0028,-0.0035,0.0674,0.0446,-0.0067,-0.0190,0.0351,0.0260,0.0386,0.0192
decorated,0.0440,0.0430,-0.0460,0.0229,-0.0118,0.0962,0.0152,-0.0106,-0.0126,0.0183,0.0109,0.0783,0.0303,0.0311
dated,0.0675,0.0139,-0.0486,0.0339,-0.0613,0.0542,-0.0010,0.0229,0.0550,0.0271,0.0051,0.0300,0.0327,0.0230
people,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
philosopher,0.0314,0.0212,-0.0078,-0.0374,-0.0094,0.0054,-0.0464,-0.0852,0.0107,0.0500,0.0311,-0.0167,-0.0635,0.0268
dresden-stockholm,0.0003,0.0700,-0.0507,0.0450,0.0709,-0.0159,0.0062,0.0591,-0.0530,-0.0764,-0.0876,0.0317,0.0506,0.0583
plato,0.0234,0.0589,-0.0352,0.0227,0.0543,0.0237,0.0305,0.0018,-0.0271,0.0028,0.0561,0.0506,0.0260,0.0751
plinth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
council,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
contabulata,-0.0426,-0.0781,0.0335,-0.0191,0.0176,-0.0205,0.0231,-0.0339,-0.0269,-0.0653,-0.0277,-0.0429,0.0132,-0.0479
porta,-0.0314,0.0050,-0.0087,-0.0306,-0.0621,0.0013,-0.0276,-0.0114,-0.0553,-0.0258,-0.0251,-0.0124,-0.0484,-0.0042
constantia,-0.0815,-0.0236,0.0827,-0.0304,0.0407,-0.0165,-0.0331,-0.0028,0.0707,0.0480,0.0579,-0.0278,-0.0375,-0.0509
constans,-0.0087,-0.0497,0.0285,-0.0380,-0.0853,0.0046,-0.0369,-0.0147,0.0545,0.0420,0.0444,-0.0490,-0.0739,-0.0748
portico,0.0013,0.0700,0.0063,-0.0229,0.0413,0.0332,-0.0085,-0.0636,-0.0066,0.0241,0.0112,0.0277,-0.0593,0.0439
column,0.0203,0.0190,-0.0053,-0.0308,-0.0084,0.1041,-0.0238,-0.0636,0.0151,0.0515,0.0380,0.0418,-0.0456,-0.0111
coloured,0.0477,-0.0176,-0.0301,0.0172,-0.0215,-0.0213,0.0022,0.0122,-0.0041,0.0160,0.0502,-0.0120,0.0253,-0.0201
nymphaeum,-0.0168,0.0447,0.0143,-0.0097,-0.0228,0.0420,-0.0287,-0.0347,-0.0063,0.0076,-0.0588,0.0327,-0.0391,0.0325
colonnaded,0.0336,0.0368,-0.0412,-0.0035,0.0016,0.0150,0.0386,-0.0238,-0.0416,-0.0133,0.0043,0.0293,0.0110,0.0392
nude,0.0334,0.0068,0.0027,0.0332,-0.0024,0.0124,0.0256,-0.0058,0.0354,0.0222,0.0236,0.0216,0.0057,-0.0125
priest,-0.0014,0.0785,-0.0053,-0.0325,0.0045,-0.0210,-0.0306,-0.0372,-0.0747,0.0243,-0.0301,0.0153,0.0077,0.0522
northern,-0.0663,0.0305,0.0303,-0.0308,0.0208,-0.0205,-0.0473,0.0256,-0.0149,0.0261,0.0042,-0.0150,-0.0571,-0.0138
excavation,0.0232,0.0057,-0.0212,0.0101,-0.0357,-0.0500,-0.0067,-0.0122,0.0471,-0.0288,-0.0514,-0.0319,-0.0247,-0.0249
excavations,0.0237,0.0096,-0.0152,-0.0332,0.0261,0.0074,-0.0348,-0.0388,0.0019,-0.0069,-0.0407,0.0144,0.0063,-0.0192
centre,-0.0322,0.0310,0.0555,-0.0553,-0.0448,-0.0094,-0.1086,-0.0286,0.1232,0.0798,0.0154,-0.0517,-0.0891,0.0000
eyes,-0.0138,-0.0463,-0.0123,0.0006,0.0016,-0.0316,0.0303,0.0088,-0.0721,-0.0896,-0.0339,-0.0349,0.0140,-0.0264
mediterranea,0.0738,0.0094,-0.0633,0.0386,-0.0412,0.0126,0.0097,0.0224,0.0035,0.0195,0.0168,0.0155,0.0313,0.0185
bithynia,0.0299,0.0342,-0.0211,-0.0120,0.0435,0.0112,-0.0216,-0.0065,-0.0235,0.0014,-0.0236,0.0373,0.0092,0.0143
410,0.0005,0.0167,0.0218,-0.0489,-0.0256,-0.0225,-0.0214,-0.0655,-0.0078,-0.0151,-0.0407,-0.0259,-0.0508,-0.0077
alexander,-0.0105,0.0253,-0.0538,0.1045,0.0606,0.0439,0.0595,0.1053,0.0519,0.0128,0.0547,0.0626,0.0626,0.0418
helena,-0.0233,-0.0158,-0.0083,0.0177,-0.0319,-0.0938,-0.0378,0.0693,-0.0325,-0.0494,-0.0075,-0.0378,0.0657,0.0183
tatianus,-0.0509,-0.0298,0.0416,-0.0209,0.0329,-0.0503,0.0139,0.0091,0.0310,0.0032,0.0126,-0.0252,-0.0086,-0.0449
lydia,0.0926,0.0393,-0.0955,0.0606,0.0082,0.0031,0.1026,0.0387,-0.0158,-0.0285,0.0402,0.0408,0.0624,0.0422
tetrarchs,0.0629,-0.0414,-0.0336,-0.0247,-0.0484,0.0526,-0.0300,-0.0358,0.0337,0.0298,0.0538,-0.0076,-0.0079,-0.0385
tetrastoon,0.0105,-0.0252,0.0303,-0.0323,0.0221,-0.0987,-0.0225,0.0735,0.0747,0.0671,-0.0671,-0.1416,-0.0332,-0.1018
480,-0.0226,-0.0742,0.0195,-0.0114,-0.0301,-0.0120,0.0047,-0.0054,-0.0199,-0.0634,-0.0484,-0.0479,-0.0022,-0.0820
tomis,-0.0815,-0.0236,0.0827,-0.0304,0.0407,-0.0165,-0.0331,-0.0028,0.0707,0.0480,0.0579,-0.0278,-0.0375,-0.0509
392,-0.0914,-0.0601,0.0799,-0.0584,0.0026,-0.0001,0.0056,-0.0353,-0.0169,-0.0281,-0.0012,-0.0261,-0.0829,-0.0634
390,0.1313,-0.0937,-0.0259,-0.0015,-0.1449,-0.0014,-0.0358,-0.0542,-0.0118,0.0505,0.0986,-0.0442,-0.0096,0.0295
turban,0.0123,-0.0713,0.0202,-0.0111,-0.0815,-0.1080,0.0101,0.0640,-0.0515,-0.0634,-0.0353,-0.0775,0.0088,-0.0751
lorum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311,-0.0085,0.0137,0.0397,-0.0282,0.0230,0.0116,-0.0155,-0.0265,0.0240,-0.0051,0.0110,0.0070,-0.0254,0.0458
306,-0.0062,0.0247,-0.0035,-0.0110,-0.0123,-0.0297,-0.0378,0.0346,-0.0282,-0.0278,-0.0405,-0.0128,-0.0075,0.0003
veil,0.0351,0.0630,-0.0746,0.0518,0.0103,0.0099,0.0437,0.0520,-0.0460,-0.0600,-0.0185,0.0540,0.0527,0.0743
293-305,0.0629,-0.0414,-0.0336,-0.0247,-0.0484,0.0526,-0.0300,-0.0358,0.0337,0.0298,0.0538,-0.0076,-0.0079,-0.0385
vienna-izmir,-0.0621,0.0158,0.0137,0.0450,0.0733,0.1259,0.0664,0.0210,0.0507,0.0785,0.0997,0.0668,0.0241,-0.0047
19th,-0.0515,-0.0253,0.0605,-0.0202,0.0906,-0.0003,-0.0437,-0.0210,0.0182,0.0090,0.0174,-0.0326,-0.0491,-0.0448
julio-claudian,0.0252,0.0152,-0.0540,0.0356,0.0125,0.0504,0.0547,0.0347,-0.0567,-0.0496,0.0137,0.0532,0.0603,0.0403
1992,-0.0681,-0.0257,0.0880,-0.0456,0.0332,0.0150,-0.0523,0.0013,0.0277,0.0586,0.0830,-0.0114,-0.0363,-0.0387
1956,0.0881,0.0543,-0.0402,-0.0230,-0.0805,-0.0481,-0.0803,0.0228,-0.0205,0.0149,-0.0087,0.0119,0.0216,0.0370
laodicea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
superior,0.0038,0.0257,0.0767,-0.1089,-0.0908,-0.0377,-0.1344,-0.1228,0.0055,0.0541,-0.0503,-0.0438,-0.1079,-0.0150
dei,0.0033,0.0239,-0.0373,-0.0100,0.0139,0.0227,0.0062,-0.0324,-0.0179,-0.0360,-0.0399,0.0316,0.0262,0.0112
stage,-0.0680,-0.0412,0.0784,-0.0259,0.0408,0.0296,-0.0258,0.0093,0.0236,0.0468,0.0608,-0.0030,-0.0116,-0.0334
apulia,-0.0144,0.0131,-0.0148,-0.0024,-0.0248,0.0314,0.0035,0.0373,-0.0524,-0.0228,0.0257,0.0136,-0.0167,-0.0295
alien,0.0459,-0.0425,-0.0086,-0.0083,-0.0288,-0.1119,-0.0268,0.0187,-0.0292,-0.0682,-0.0690,-0.0412,0.0503,-0.0025
antioch,0.0036,0.0029,-0.0242,0.0558,0.0005,0.0038,0.0205,0.0640,-0.0040,0.0009,0.0511,0.0337,0.0377,0.0028
younger,0.0355,0.0127,-0.0428,0.0416,0.0205,0.0515,0.0124,0.0216,0.0335,0.0532,0.0852,0.0428,0.0486,0.0080
gymnasium,-0.0122,0.0043,0.0265,0.0113,0.0804,0.0274,0.0249,-0.0041,0.0300,0.0089,0.0267,0.0359,0.0119,0.0284
st,-0.0197,0.0082,0.0116,0.0022,-0.0418,0.0119,-0.0063,0.0258,-0.0105,0.0183,0.0140,0.0197,0.0279,-0.0149
ariadne,-0.0526,-0.0655,0.0557,-0.0382,-0.0223,-0.0130,-0.0357,-0.0446,-0.0693,-0.0828,-0.0760,-0.0552,0.0077,-0.0667
walls,-0.0136,-0.0014,0.0266,0.0348,0.0229,-0.0034,0.0209,-0.0023,0.0703,0.0462,0.0696,0.0156,0.0162,0.0091
vitali,-0.0257,0.0344,0.0095,0.0115,0.0171,0.0337,-0.0405,0.0309,0.0375,0.0211,0.0095,0.0219,0.0017,-0.0098
sisto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
